Model,R²,RMSE,MAE,MAPE (%)
Ridge,0.7895,144.89,123.69,9.4
Lasso,0.7895,144.9,123.6,9.35
Bayesian Ridge,0.7841,146.75,121.98,9.03
Linear Regression,0.784,146.78,126.52,9.68
Hybrid (RF+XGB),0.7482,158.47,105.22,7.76
Gradient Boosting,0.7441,159.77,113.69,8.23
ElasticNet,0.744,159.78,132.99,9.88
Random Forest,0.7439,159.82,106.36,8.0
XGBoost,0.7056,171.36,119.92,8.72
KNN,0.6785,179.08,136.03,9.99
Decision Tree,0.297,264.8,199.33,14.33
SVR,-0.0204,319.01,252.65,18.59
