Feature,SHAP Importance
DF_BP_Interaction,140.60477843061466
TSW,102.3546638178443
BY,100.17180811008524
PP,89.24675411912897
PH_DM_Interaction,80.3436984063089
BP,78.10799999716059
L_L1,73.60020360315019
PP_Squared,67.98854071493241
L_L5,61.900767897106036
Gen_G43,58.17747120850172
