Feature,SHAP Importance,Relative Importance (%)
DF_BP_Interaction,140.6048,12.77
TSW,102.3547,9.3
BY,100.1718,9.1
PP,89.2468,8.11
PH_DM_Interaction,80.3437,7.3
BP,78.108,7.09
L_L1,73.6002,6.68
PP_Squared,67.9885,6.17
L_L5,61.9008,5.62
Gen_G43,58.1775,5.28
Gen_G49,51.2491,4.65
PH_Squared,31.2593,2.84
DE,27.0081,2.45
PH,23.1355,2.1
Gen_G1,22.7013,2.06
Gen_G41,20.6974,1.88
DM_DF_Difference,18.8107,1.71
DM,18.3437,1.67
PH_DF_Ratio,18.0552,1.64
L_L2,17.3466,1.58
